study_folder,therapeutic_area,phase,pd_category,pd_subcategory,pi_flag,count
C1071003,Oncology,Ph II,6) Proc/Test,Procedure/Test performed out of window,NO,120
C1071003,Oncology,Ph II,6) Proc/Test,Procedures for contraception counseling/contraception requirements not followed,YES,62
C1071003,Oncology,Ph II,6) Proc/Test,other (other Proc/Test subcategories do not apply),NO,2
C1071003,Oncology,Ph II,8) SafetyRep,SAE/EIU not reported to Sponsor within specified timeframe,YES,98
C1071003,Oncology,Ph II,8) SafetyRep,other (other SafetyRep subcategories do not apply),NO,1
C1071004,Oncology,Ph II,1) Inc/Excl,Subject did meet exclusion criteria,YES,5
C1071004,Oncology,Ph II,10) Other,Other (no other PD categories apply),NO,20
C1071004,Oncology,Ph II,11) Informed Consent,ICD signed by unauthorized site personnel,NO,1
C1071004,Oncology,Ph II,11) Informed Consent,"ICD was lost, copy available",NO,1
C1071004,Oncology,Ph II,11) Informed Consent,"ICD was lost, no copy available",YES,1
C1071004,Oncology,Ph II,11) Informed Consent,Other,NO,27
C1071004,Oncology,Ph II,11) Informed Consent,Pending Site Monitor Action Informed Consent,NO,3
C1071004,Oncology,Ph II,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,NO,78
C1071004,Oncology,Ph II,11) Informed Consent,Subject/LAR signed a superseded/outdated version of the ICD,NO,7
C1071004,Oncology,Ph II,11) Informed Consent,Subject/LAR signed and dated ICD after screen/enroll date,YES,1
C1071004,Oncology,Ph II,11) Informed Consent,Subject/LAR signed consent but did not date it,NO,3
C1071004,Oncology,Ph II,2) InvProd,,,8
C1071004,Oncology,Ph II,2) InvProd,Comparator/Combination drug : Wrong Dose administered/Overdose,NO,1
C1071004,Oncology,Ph II,2) InvProd,Dispensing error,NO,20
C1071004,Oncology,Ph II,2) InvProd,Dosing/Administration error,NO,108
C1071004,Oncology,Ph II,2) InvProd,Dosing/Administration error,YES,1
C1071004,Oncology,Ph II,2) InvProd,IP accountability not done,NO,20
C1071004,Oncology,Ph II,2) InvProd,InvProd was administered without following dosage modification for Hematologic and non hematologic toxicity as defined in the protcol,YES,31
C1071004,Oncology,Ph II,2) InvProd,Pending Site Monitor Action InvProd,NO,3
C1071004,Oncology,Ph II,2) InvProd,Step up priming doses not done according to protocol,YES,1
C1071004,Oncology,Ph II,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,NO,3
C1071004,Oncology,Ph II,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,YES,2
C1071004,Oncology,Ph II,3) CCMeds,,,1
C1071004,Oncology,Ph II,3) CCMeds,Pending Site Monitor Action CCMeds,NO,9
C1071004,Oncology,Ph II,3) CCMeds,Premedication for Study Drugs (Elaranatanab or Comparator) not administered as specified in the protocol,NO,166
C1071004,Oncology,Ph II,3) CCMeds,Required infection prophylaxis treatment not administered as specified in the protocol,NO,63
C1071004,Oncology,Ph II,3) CCMeds,Required infection prophylaxis treatment not administered at all,YES,3
C1071004,Oncology,Ph II,4) Lab,,,19
C1071004,Oncology,Ph II,4) Lab,Biomarkers samples not performed as per protocol,NO,17
C1071004,Oncology,Ph II,4) Lab,Biomarkers samples not performed as per protocol,YES,2
C1071004,Oncology,Ph II,4) Lab,Lab for disease assessment not done/not done per protocol,NO,30
C1071004,Oncology,Ph II,4) Lab,Lab for disease assessment not done/not done per protocol,YES,165
C1071004,Oncology,Ph II,4) Lab,Lab not done,NO,465
C1071004,Oncology,Ph II,4) Lab,Lab not performed within pre-specified conditions,NO,26
C1071004,Oncology,Ph II,4) Lab,Lab performed out of window,NO,8
C1071004,Oncology,Ph II,4) Lab,Lab(s) was not reviewed by an Investigator in a timely manner,NO,1
C1071004,Oncology,Ph II,4) Lab,PK/PD samples not done,NO,90
C1071004,Oncology,Ph II,4) Lab,"PK/PD samples not properly collected, stored or handled",NO,25
C1071004,Oncology,Ph II,4) Lab,Pending Site Monitor Action Lab,NO,3
C1071004,Oncology,Ph II,4) Lab,"Safety labs (hematology, coagulation or biochemistry or urinanalysis...) not performed",NO,142
C1071004,Oncology,Ph II,4) Lab,Specimen could not be analyzed,NO,3
C1071004,Oncology,Ph II,5) VisitSched,,,5
C1071004,Oncology,Ph II,5) VisitSched,Pending Site Monitor Action VisitSched,NO,3
C1071004,Oncology,Ph II,5) VisitSched,Visit not done,NO,137
C1071004,Oncology,Ph II,5) VisitSched,Visit not performed per protocol,NO,172
C1071004,Oncology,Ph II,6) Proc/Test,,,11
C1071004,Oncology,Ph II,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),NO,16
C1071004,Oncology,Ph II,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),YES,23
C1071004,Oncology,Ph II,6) Proc/Test,PROs not done or not performed as required per protocol,NO,260
C1071004,Oncology,Ph II,6) Proc/Test,Pending Site Monitor Action Proc/Test,NO,5
C1071004,Oncology,Ph II,6) Proc/Test,Procedure/Test not done,NO,376
C1071004,Oncology,Ph II,6) Proc/Test,Procedure/Test not performed per protocol,NO,271
C1071004,Oncology,Ph II,6) Proc/Test,Procedure/Test performed out of window,NO,45
C1071004,Oncology,Ph II,6) Proc/Test,Procedures for contraception counseling/contraception requirements not followed,YES,2
C1071004,Oncology,Ph II,8) SafetyRep,Pending Site Monitor Action SafetyRep,NO,1
C1071004,Oncology,Ph II,8) SafetyRep,SAE/EIU not reported to Sponsor within specified timeframe,YES,29
C1071005,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 2 (willing and able to comply with protocol requirements),YES,1
C1071005,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 3 (Diagnosis of MM per protocol),YES,5
C1071005,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 5 (PA2: Identification of dominant malignant (index) clone as assessed by central laboratory NGS test (Adaptive Biotechnologies clonoSEQ® assay).,YES,1
C1071005,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 7 (LVEF ≥40% as determined by a MUGA scan or ECHO).,YES,1
C1071005,Oncology,Ph III,1) Inc/Excl,"Subject met exclusion criteria 15 (Participants with active, uncontrolled bacterial, fungal, or viral infection, including HBV, HCV, SARS-CoV-2, and known HIV or AIDS-related illness.",YES,26
C1071005,Oncology,Ph III,1) Inc/Excl,"Subject met exclusion criteria 4 (Impaired cardiovascular function or clinically significant cardiovascular diseases, defined as any of the following within 6 months prior to enrollment)",YES,5
C1071005,Oncology,Ph III,10) Other,Pending Site Monitor Action Other,NO,3
C1071005,Oncology,Ph III,10) Other,Pending Site Monitor Action Other,YES,1
C1071005,Oncology,Ph III,11) Informed Consent,ICD had not undergone proper Pfizer/CRO approval,NO,16
C1071005,Oncology,Ph III,11) Informed Consent,"ICD not signed by impartial witness, when applicable",NO,7
C1071005,Oncology,Ph III,11) Informed Consent,ICD not translated to subject's/LAR native language,NO,2
C1071005,Oncology,Ph III,11) Informed Consent,ICD signed by subject/LAR had not received IRB/IEC approval,NO,4
C1071005,Oncology,Ph III,11) Informed Consent,ICD signed by subject/LAR had not received IRB/IEC approval,YES,5
C1071005,Oncology,Ph III,11) Informed Consent,ICD signed by unauthorized site personnel,NO,12
C1071005,Oncology,Ph III,11) Informed Consent,"ICD was lost, copy available",NO,12
C1071005,Oncology,Ph III,11) Informed Consent,"ICD was lost, no copy available",YES,7
C1071005,Oncology,Ph III,11) Informed Consent,Optional Consent deviations,NO,1
C1071005,Oncology,Ph III,11) Informed Consent,Optional Consent deviations,YES,17
C1071005,Oncology,Ph III,11) Informed Consent,Other,NO,82
C1071005,Oncology,Ph III,11) Informed Consent,Pending Site Monitor Action Informed Consent,NO,3
C1071005,Oncology,Ph III,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,NO,165
C1071005,Oncology,Ph III,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,YES,7
C1071005,Oncology,Ph III,11) Informed Consent,Subject/LAR did not sign ICD & did not give verbal consent,YES,21
C1071005,Oncology,Ph III,11) Informed Consent,Subject/LAR did not sign the ICD but gave verbal consent,YES,4
C1071005,Oncology,Ph III,11) Informed Consent,Subject/LAR signed a superseded/outdated version of the ICD,NO,62
C1071005,Oncology,Ph III,11) Informed Consent,Subject/LAR signed and dated ICD after screen/enroll date,YES,19
C1071005,Oncology,Ph III,11) Informed Consent,Subject/LAR signed consent but did not date it,NO,25
C1071005,Oncology,Ph III,2) InvProd,Comparator/Combination drug : Wrong Dose administered/Overdose,YES,6
C1071005,Oncology,Ph III,2) InvProd,Dispensing error,NO,18
C1071005,Oncology,Ph III,2) InvProd,Dosed but protocol dosing criteria not met,YES,12
C1071005,Oncology,Ph III,2) InvProd,Dosed outside of protocol allowed window,NO,199
C1071005,Oncology,Ph III,2) InvProd,Dosing/Administration error,NO,204
C1071005,Oncology,Ph III,2) InvProd,Elranatamab: Wrong Dose administered/Overdose,YES,16
C1071005,Oncology,Ph III,2) InvProd,IP accountability not done,NO,84
C1071005,Oncology,Ph III,2) InvProd,IP accountability not done,YES,2
C1071005,Oncology,Ph III,2) InvProd,InvProd was administered without following dosage modification for Hematologic and non hematologic toxicity as defined in the protcol,YES,27
C1071005,Oncology,Ph III,2) InvProd,Non compliance with Lenalidomide intake,NO,349
C1071005,Oncology,Ph III,2) InvProd,Non compliance with Lenalidomide intake,YES,68
C1071005,Oncology,Ph III,2) InvProd,Pending Site Monitor Action InvProd,NO,1
C1071005,Oncology,Ph III,2) InvProd,Priming doses not done according to protocol,YES,3
C1071005,Oncology,Ph III,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,YES,1
C1071005,Oncology,Ph III,3) CCMeds,(DO NOT USE) Infection prophylaxis treatment (including IG replacement therapy) was not administered as specified per protocol,YES,1
C1071005,Oncology,Ph III,3) CCMeds,Premedication for Study Drugs (Elranatamab or Comparator) not administered as specified in the protocol,NO,103
C1071005,Oncology,Ph III,3) CCMeds,Premedication for Study Drugs (Elranatamab or Comparator) not administered as specified in the protocol,YES,1
C1071005,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered as specified in the protocol,NO,47
C1071005,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered at all,YES,40
C1071005,Oncology,Ph III,3) CCMeds,"Took permitted concomitant medication/vaccine, but not as specified per protocol",NO,4
C1071005,Oncology,Ph III,4) Lab,BMA sample for MRD not collected,NO,1
C1071005,Oncology,Ph III,4) Lab,BMA sample for MRD not collected,YES,169
C1071005,Oncology,Ph III,4) Lab,"BMA sample for MRD not properly collected, stored or handled",NO,37
C1071005,Oncology,Ph III,4) Lab,Biomarkers samples not performed as per protocol,NO,116
C1071005,Oncology,Ph III,4) Lab,Central lab samples (excluding MRD& Lab disease assessment) not done,NO,306
C1071005,Oncology,Ph III,4) Lab,Central lab samples (excluding MRD& Lab disease assessment) not done,YES,3
C1071005,Oncology,Ph III,4) Lab,"Central lab samples (excluding MRD& Lab disease assessment) not properly collected, stored, or handled",NO,135
C1071005,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,NO,28
C1071005,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,YES,184
C1071005,Oncology,Ph III,4) Lab,Lab for pregnancy testing not done or done out of visit window,NO,19
C1071005,Oncology,Ph III,4) Lab,Lab not done,NO,1914
C1071005,Oncology,Ph III,4) Lab,Lab not done,YES,5
C1071005,Oncology,Ph III,4) Lab,Lab not performed within pre-specified conditions,NO,592
C1071005,Oncology,Ph III,4) Lab,Lab not performed within pre-specified conditions,YES,1
C1071005,Oncology,Ph III,4) Lab,Lab performed out of window,NO,144
C1071005,Oncology,Ph III,4) Lab,Lab performed out of window,YES,2
C1071005,Oncology,Ph III,4) Lab,"Lab required for dosing criteria not done (ANC, platelet)",YES,2
C1071005,Oncology,Ph III,4) Lab,Lab(s) was not reviewed by an Investigator in a timely manner,NO,7
C1071005,Oncology,Ph III,4) Lab,PK/PD samples not done,NO,56
C1071005,Oncology,Ph III,4) Lab,"PK/PD samples not properly collected, stored or handled",NO,67
C1071005,Oncology,Ph III,4) Lab,Pending Site Monitor Action Lab,NO,3
C1071005,Oncology,Ph III,4) Lab,"Safety labs (hematology, coagulation or biochemistry or urinanalysis...) not performed",NO,145
C1071005,Oncology,Ph III,4) Lab,Specimen could not be analyzed,NO,6
C1071005,Oncology,Ph III,4) Lab,Study participant dosed without pregnancy test done,YES,5
C1071005,Oncology,Ph III,5) VisitSched,Pending Site Monitor Action VisitSched,NO,4
C1071005,Oncology,Ph III,5) VisitSched,Required hospitalization period for visit C1D1 not done,YES,1
C1071005,Oncology,Ph III,5) VisitSched,Required hospitalization period for visit C1D4 not done,YES,1
C1071005,Oncology,Ph III,5) VisitSched,Visit not done,NO,621
C1071005,Oncology,Ph III,5) VisitSched,Visit not done,YES,8
C1071005,Oncology,Ph III,5) VisitSched,Visit not performed per protocol,NO,1377
C1071005,Oncology,Ph III,5) VisitSched,Visit not performed per protocol,YES,9
C1071005,Oncology,Ph III,6) Proc/Test,,,2
C1071005,Oncology,Ph III,6) Proc/Test,Abnormal procedure/test result not followed up per protocol,NO,5
C1071005,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),NO,2
C1071005,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),YES,94
C1071005,Oncology,Ph III,6) Proc/Test,PROs not done or not performed as required per protocol,NO,1306
C1071005,Oncology,Ph III,6) Proc/Test,Pending Site Monitor Action Proc/Test,NO,28
C1071005,Oncology,Ph III,6) Proc/Test,Procedure not performed by a medically qualified individual,YES,2
C1071005,Oncology,Ph III,6) Proc/Test,Procedure/Test not done,NO,780
C1071005,Oncology,Ph III,6) Proc/Test,Procedure/Test not done,YES,5
C1071005,Oncology,Ph III,6) Proc/Test,Procedure/Test not performed per protocol,NO,1192
C1071005,Oncology,Ph III,6) Proc/Test,Procedure/Test not performed per protocol,YES,7
C1071005,Oncology,Ph III,6) Proc/Test,Procedure/Test performed out of window,NO,307
C1071005,Oncology,Ph III,6) Proc/Test,Procedures for contraception counseling/contraception requirements not followed,YES,28
C1071005,Oncology,Ph III,7) Random,Patient randomized in IRT in error,NO,2
C1071005,Oncology,Ph III,7) Random,Patient randomized in the wrong strata,YES,116
C1071005,Oncology,Ph III,7) Random,Pending Site Monitor Action Random,NO,3
C1071005,Oncology,Ph III,8) SafetyRep,SAE Not reported by investigator to Ethics Committee / IRB per local regulations,YES,2
C1071005,Oncology,Ph III,8) SafetyRep,SAE/EIU not reported to Sponsor within specified timeframe,YES,117
C1071006,Oncology,Ph III,1) Inc/Excl,Subject did meet exclusion criteria,YES,5
C1071006,Oncology,Ph III,10) Other,Other (no other PD categories apply),NO,20
C1071006,Oncology,Ph III,11) Informed Consent,ICD signed by unauthorized site personnel,NO,1
C1071006,Oncology,Ph III,11) Informed Consent,"ICD was lost, copy available",NO,1
C1071006,Oncology,Ph III,11) Informed Consent,"ICD was lost, no copy available",YES,1
C1071006,Oncology,Ph III,11) Informed Consent,Other,NO,27
C1071006,Oncology,Ph III,11) Informed Consent,Pending Site Monitor Action Informed Consent,NO,3
C1071006,Oncology,Ph III,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,NO,78
C1071006,Oncology,Ph III,11) Informed Consent,Subject/LAR signed a superseded/outdated version of the ICD,NO,7
C1071006,Oncology,Ph III,11) Informed Consent,Subject/LAR signed and dated ICD after screen/enroll date,YES,1
C1071006,Oncology,Ph III,11) Informed Consent,Subject/LAR signed consent but did not date it,NO,3
C1071006,Oncology,Ph III,2) InvProd,,,8
C1071006,Oncology,Ph III,2) InvProd,Comparator/Combination drug : Wrong Dose administered/Overdose,NO,1
C1071006,Oncology,Ph III,2) InvProd,Dispensing error,NO,20
C1071006,Oncology,Ph III,2) InvProd,Dosing/Administration error,NO,108
C1071006,Oncology,Ph III,2) InvProd,Dosing/Administration error,YES,1
C1071006,Oncology,Ph III,2) InvProd,IP accountability not done,NO,20
C1071006,Oncology,Ph III,2) InvProd,InvProd was administered without following dosage modification for Hematologic and non hematologic toxicity as defined in the protcol,YES,31
C1071006,Oncology,Ph III,2) InvProd,Pending Site Monitor Action InvProd,NO,3
C1071006,Oncology,Ph III,2) InvProd,Step up priming doses not done according to protocol,YES,1
C1071006,Oncology,Ph III,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,NO,3
C1071006,Oncology,Ph III,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,YES,2
C1071006,Oncology,Ph III,3) CCMeds,,,1
C1071006,Oncology,Ph III,3) CCMeds,Pending Site Monitor Action CCMeds,NO,9
C1071006,Oncology,Ph III,3) CCMeds,Premedication for Study Drugs (Elaranatanab or Comparator) not administered as specified in the protocol,NO,166
C1071006,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered as specified in the protocol,NO,63
C1071006,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered at all,YES,3
C1071006,Oncology,Ph III,4) Lab,,,19
C1071006,Oncology,Ph III,4) Lab,Biomarkers samples not performed as per protocol,NO,17
C1071006,Oncology,Ph III,4) Lab,Biomarkers samples not performed as per protocol,YES,2
C1071006,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,NO,30
C1071006,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,YES,165
C1071006,Oncology,Ph III,4) Lab,Lab not done,NO,465
C1071006,Oncology,Ph III,4) Lab,Lab not performed within pre-specified conditions,NO,26
C1071006,Oncology,Ph III,4) Lab,Lab performed out of window,NO,8
C1071006,Oncology,Ph III,4) Lab,Lab(s) was not reviewed by an Investigator in a timely manner,NO,1
C1071006,Oncology,Ph III,4) Lab,PK/PD samples not done,NO,90
C1071006,Oncology,Ph III,4) Lab,"PK/PD samples not properly collected, stored or handled",NO,25
C1071006,Oncology,Ph III,4) Lab,Pending Site Monitor Action Lab,NO,3
C1071006,Oncology,Ph III,4) Lab,"Safety labs (hematology, coagulation or biochemistry or urinanalysis...) not performed",NO,142
C1071006,Oncology,Ph III,4) Lab,Specimen could not be analyzed,NO,3
C1071006,Oncology,Ph III,5) VisitSched,,,5
C1071006,Oncology,Ph III,5) VisitSched,Pending Site Monitor Action VisitSched,NO,3
C1071006,Oncology,Ph III,5) VisitSched,Visit not done,NO,137
C1071006,Oncology,Ph III,5) VisitSched,Visit not performed per protocol,NO,172
C1071006,Oncology,Ph III,6) Proc/Test,,,11
C1071006,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),NO,16
C1071006,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),YES,23
C1071006,Oncology,Ph III,6) Proc/Test,PROs not done or not performed as required per protocol,NO,260
C1071006,Oncology,Ph III,6) Proc/Test,Pending Site Monitor Action Proc/Test,NO,5
C1071006,Oncology,Ph III,6) Proc/Test,Procedure/Test not done,NO,376
C1071006,Oncology,Ph III,6) Proc/Test,Procedure/Test not performed per protocol,NO,271
C1071006,Oncology,Ph III,6) Proc/Test,Procedure/Test performed out of window,NO,45
C1071006,Oncology,Ph III,6) Proc/Test,Procedures for contraception counseling/contraception requirements not followed,YES,2
C1071006,Oncology,Ph III,8) SafetyRep,Pending Site Monitor Action SafetyRep,NO,1
C1071006,Oncology,Ph III,8) SafetyRep,SAE/EIU not reported to Sponsor within specified timeframe,YES,29
C1071007,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 2 (willing and able to comply with protocol requirements),YES,1
C1071007,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 3 (Diagnosis of MM per protocol),YES,5
C1071007,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 5 (PA2: Identification of dominant malignant (index) clone as assessed by central laboratory NGS test (Adaptive Biotechnologies clonoSEQ® assay).,YES,1
C1071007,Oncology,Ph III,1) Inc/Excl,Subject did not meet inclusion criteria 7 (LVEF ≥40% as determined by a MUGA scan or ECHO).,YES,1
C1071007,Oncology,Ph III,1) Inc/Excl,"Subject met exclusion criteria 15 (Participants with active, uncontrolled bacterial, fungal, or viral infection, including HBV, HCV, SARS-CoV-2, and known HIV or AIDS-related illness.",YES,26
C1071007,Oncology,Ph III,1) Inc/Excl,"Subject met exclusion criteria 4 (Impaired cardiovascular function or clinically significant cardiovascular diseases, defined as any of the following within 6 months prior to enrollment)",YES,5
C1071007,Oncology,Ph III,10) Other,Pending Site Monitor Action Other,NO,3
C1071007,Oncology,Ph III,10) Other,Pending Site Monitor Action Other,YES,1
C1071007,Oncology,Ph III,11) Informed Consent,ICD had not undergone proper Pfizer/CRO approval,NO,16
C1071007,Oncology,Ph III,11) Informed Consent,"ICD not signed by impartial witness, when applicable",NO,7
C1071007,Oncology,Ph III,11) Informed Consent,ICD not translated to subject's/LAR native language,NO,2
C1071007,Oncology,Ph III,11) Informed Consent,ICD signed by subject/LAR had not received IRB/IEC approval,NO,4
C1071007,Oncology,Ph III,11) Informed Consent,ICD signed by subject/LAR had not received IRB/IEC approval,YES,5
C1071007,Oncology,Ph III,11) Informed Consent,ICD signed by unauthorized site personnel,NO,12
C1071007,Oncology,Ph III,11) Informed Consent,"ICD was lost, copy available",NO,12
C1071007,Oncology,Ph III,11) Informed Consent,"ICD was lost, no copy available",YES,7
C1071007,Oncology,Ph III,11) Informed Consent,Optional Consent deviations,NO,1
C1071007,Oncology,Ph III,11) Informed Consent,Optional Consent deviations,YES,17
C1071007,Oncology,Ph III,11) Informed Consent,Other,NO,82
C1071007,Oncology,Ph III,11) Informed Consent,Pending Site Monitor Action Informed Consent,NO,3
C1071007,Oncology,Ph III,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,NO,165
C1071007,Oncology,Ph III,11) Informed Consent,Revised ICD not signed at the first subject visits after the revised/approved ICD was available at site,YES,7
C1071007,Oncology,Ph III,11) Informed Consent,Subject/LAR did not sign ICD & did not give verbal consent,YES,21
C1071007,Oncology,Ph III,11) Informed Consent,Subject/LAR did not sign the ICD but gave verbal consent,YES,4
C1071007,Oncology,Ph III,11) Informed Consent,Subject/LAR signed a superseded/outdated version of the ICD,NO,62
C1071007,Oncology,Ph III,11) Informed Consent,Subject/LAR signed and dated ICD after screen/enroll date,YES,19
C1071007,Oncology,Ph III,11) Informed Consent,Subject/LAR signed consent but did not date it,NO,25
C1071007,Oncology,Ph III,2) InvProd,Comparator/Combination drug : Wrong Dose administered/Overdose,YES,6
C1071007,Oncology,Ph III,2) InvProd,Dispensing error,NO,18
C1071007,Oncology,Ph III,2) InvProd,Dosed but protocol dosing criteria not met,YES,12
C1071007,Oncology,Ph III,2) InvProd,Dosed outside of protocol allowed window,NO,199
C1071007,Oncology,Ph III,2) InvProd,Dosing/Administration error,NO,204
C1071007,Oncology,Ph III,2) InvProd,Elranatamab: Wrong Dose administered/Overdose,YES,16
C1071007,Oncology,Ph III,2) InvProd,IP accountability not done,NO,84
C1071007,Oncology,Ph III,2) InvProd,IP accountability not done,YES,2
C1071007,Oncology,Ph III,2) InvProd,InvProd was administered without following dosage modification for Hematologic and non hematologic toxicity as defined in the protcol,YES,27
C1071007,Oncology,Ph III,2) InvProd,Non compliance with Lenalidomide intake,NO,349
C1071007,Oncology,Ph III,2) InvProd,Non compliance with Lenalidomide intake,YES,68
C1071007,Oncology,Ph III,2) InvProd,Pending Site Monitor Action InvProd,NO,1
C1071007,Oncology,Ph III,2) InvProd,Priming doses not done according to protocol,YES,3
C1071007,Oncology,Ph III,2) InvProd,Storage error/temperature excursion. IP administered to participant without Sponsor approval,YES,1
C1071007,Oncology,Ph III,3) CCMeds,(DO NOT USE) Infection prophylaxis treatment (including IG replacement therapy) was not administered as specified per protocol,YES,1
C1071007,Oncology,Ph III,3) CCMeds,Premedication for Study Drugs (Elranatamab or Comparator) not administered as specified in the protocol,NO,103
C1071007,Oncology,Ph III,3) CCMeds,Premedication for Study Drugs (Elranatamab or Comparator) not administered as specified in the protocol,YES,1
C1071007,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered as specified in the protocol,NO,47
C1071007,Oncology,Ph III,3) CCMeds,Required infection prophylaxis treatment not administered at all,YES,40
C1071007,Oncology,Ph III,3) CCMeds,"Took permitted concomitant medication/vaccine, but not as specified per protocol",NO,4
C1071007,Oncology,Ph III,4) Lab,BMA sample for MRD not collected,NO,1
C1071007,Oncology,Ph III,4) Lab,BMA sample for MRD not collected,YES,169
C1071007,Oncology,Ph III,4) Lab,"BMA sample for MRD not properly collected, stored or handled",NO,37
C1071007,Oncology,Ph III,4) Lab,Biomarkers samples not performed as per protocol,NO,116
C1071007,Oncology,Ph III,4) Lab,Central lab samples (excluding MRD& Lab disease assessment) not done,NO,306
C1071007,Oncology,Ph III,4) Lab,Central lab samples (excluding MRD& Lab disease assessment) not done,YES,3
C1071007,Oncology,Ph III,4) Lab,"Central lab samples (excluding MRD& Lab disease assessment) not properly collected, stored, or handled",NO,135
C1071007,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,NO,28
C1071007,Oncology,Ph III,4) Lab,Lab for disease assessment not done/not done per protocol,YES,184
C1071007,Oncology,Ph III,4) Lab,Lab for pregnancy testing not done or done out of visit window,NO,19
C1071007,Oncology,Ph III,4) Lab,Lab not done,NO,1914
C1071007,Oncology,Ph III,4) Lab,Lab not done,YES,5
C1071007,Oncology,Ph III,4) Lab,Lab not performed within pre-specified conditions,NO,592
C1071007,Oncology,Ph III,4) Lab,Lab not performed within pre-specified conditions,YES,1
C1071007,Oncology,Ph III,4) Lab,Lab performed out of window,NO,144
C1071007,Oncology,Ph III,4) Lab,Lab performed out of window,YES,2
C1071007,Oncology,Ph III,4) Lab,"Lab required for dosing criteria not done (ANC, platelet)",YES,2
C1071007,Oncology,Ph III,4) Lab,Lab(s) was not reviewed by an Investigator in a timely manner,NO,7
C1071007,Oncology,Ph III,4) Lab,PK/PD samples not done,NO,56
C1071007,Oncology,Ph III,4) Lab,"PK/PD samples not properly collected, stored or handled",NO,67
C1071007,Oncology,Ph III,4) Lab,Pending Site Monitor Action Lab,NO,3
C1071007,Oncology,Ph III,4) Lab,"Safety labs (hematology, coagulation or biochemistry or urinanalysis...) not performed",NO,145
C1071007,Oncology,Ph III,4) Lab,Specimen could not be analyzed,NO,6
C1071007,Oncology,Ph III,4) Lab,Study participant dosed without pregnancy test done,YES,5
C1071007,Oncology,Ph III,5) VisitSched,Pending Site Monitor Action VisitSched,NO,4
C1071007,Oncology,Ph III,5) VisitSched,Required hospitalization period for visit C1D1 not done,YES,1
C1071007,Oncology,Ph III,5) VisitSched,Required hospitalization period for visit C1D4 not done,YES,1
C1071007,Oncology,Ph III,5) VisitSched,Visit not done,NO,621
C1071007,Oncology,Ph III,5) VisitSched,Visit not done,YES,8
C1071007,Oncology,Ph III,5) VisitSched,Visit not performed per protocol,NO,1377
C1071007,Oncology,Ph III,5) VisitSched,Visit not performed per protocol,YES,9
C1071007,Oncology,Ph III,6) Proc/Test,,,2
C1071007,Oncology,Ph III,6) Proc/Test,Abnormal procedure/test result not followed up per protocol,NO,5
C1071007,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),NO,2
C1071007,Oncology,Ph III,6) Proc/Test,Disease assessment not done /not completely done (i.e. Imaging),YES,94
C1071007,Oncology,Ph III,6) Proc/Test,PROs not done or not performed as required per protocol,NO,1306
C1071007,Oncology,Ph III,6) Proc/Test,Pending Site Monitor Action Proc/Test,NO,28
C1071007,Oncology,Ph III,6) Proc/Test,Procedure not performed by a medically qualified individual,YES,2
C1071007,Oncology,Ph III,6) Proc/Test,Procedure/Test not done,NO,780
